Transaction_ID,Date,Customer_ID,Product_Category,Segment,Region,Sales_Amount,Quantity,Discount_Rate,Profit_Margin,Payment_Method,Returns,Total_Profit,Quarter,High_Margin_Flag,Customer_Tier,Sales_Performances
TSC-0001,08-17-23,CUST-964,Office Supplies,Home Office,East,4606.21,2,0.11,0.11,Net Banking,0,506.68,Q3,Low,Gold,Top Performer
TSC-0002,03-22-22,CUST-649,Entertainment,Consumer,South,2164.36,10,0.22,0.21,Debit Card,0,454.52,Q1,Low,Silver,Average
TSC-0003,06-14-22,CUST-431,Home Appliances,Corporate,North,2955.58,1,0.21,0.19,Net Banking,0,561.56,Q2,Low,Silver,Average
TSC-0004,06-01-24,CUST-681,Entertainment,Home Office,North,2326.66,8,0.27,0.32,Net Banking,1,744.53,Q2,High,Silver,Average
TSC-0005,01-25-22,CUST-227,Entertainment,Consumer,West,1923.27,10,0.19,0.1,PayPal,0,192.33,Q1,Low,Silver,Below Average
TSC-0006,08-26-23,CUST-248,Personal Care,Consumer,South,1155.23,2,0.09,0.24,PayPal,0,277.26,Q3,Low,Bronze,Below Average
TSC-0007,04-29-22,CUST-352,Home Appliances,Consumer,West,3446.65,5,0.23,0.37,Debit Card,0,1275.26,Q2,High,Gold,Top Performer
TSC-0008,11-24-23,CUST-235,Home Appliances,Corporate,North,3605.3,6,0.15,0.36,Debit Card,0,1297.91,Q4,High,Gold,Top Performer
TSC-0009,07-21-22,CUST-667,Home Appliances,Consumer,South,1410.68,10,0.06,0.35,Net Banking,0,493.74,Q3,High,Bronze,Below Average
TSC-0010,06-05-23,CUST-620,Entertainment,Consumer,Central,3955.6,1,0.22,0.18,PayPal,0,712.01,Q2,Low,Gold,Top Performer
TSC-0011,06-21-23,CUST-824,Office Supplies,Corporate,South,4279.95,2,0.04,0.38,Debit Card,0,1626.38,Q2,High,Gold,Top Performer
TSC-0012,06-17-23,CUST-321,Home Appliances,Corporate,South,4607.34,10,0.05,0.33,Debit Card,0,1520.42,Q2,High,Gold,Top Performer
TSC-0013,03-14-22,CUST-623,Entertainment,Consumer,Central,848.0,4,0.23,0.35,Debit Card,1,296.8,Q1,High,Bronze,Below Average
TSC-0014,02-13-24,CUST-306,Personal Care,Consumer,East,1554.42,2,0.23,0.38,PayPal,0,590.68,Q1,High,Silver,Below Average
TSC-0015,05-09-23,CUST-210,Office Supplies,Corporate,East,4308.75,6,0.24,0.38,Debit Card,0,1637.32,Q2,High,Gold,Top Performer
TSC-0016,08-22-23,CUST-453,Personal Care,Home Office,East,1032.77,4,0.09,0.13,Net Banking,1,134.26,Q3,Low,Bronze,Below Average
TSC-0017,02-09-24,CUST-619,,Home Office,North,67.17,3,0.26,0.09,Debit Card,0,6.05,Q1,Low,Bronze,Below Average
TSC-0018,05-31-24,CUST-151,Entertainment,Corporate,South,,6,0.22,0.29,UPI,0,1264.57,Q2,Low,Bronze,Below Average
TSC-0019,09-26-22,CUST-712,Electronics,Consumer,Central,1665.92,9,0.25,0.25,Credit Card,0,416.48,Q3,Low,Silver,Below Average
TSC-0020,05-07-22,CUST-203,Office Supplies,Consumer,North,2101.76,8,0.21,0.16,Net Banking,0,336.28,Q2,Low,Silver,Average
TSC-0021,10-29-22,CUST-367,Personal Care,Consumer,Central,2259.35,2,0.17,0.29,Debit Card,0,655.21,Q4,Low,Silver,Average
TSC-0022,06-03-23,CUST-943,Entertainment,Consumer,North,4248.96,3,0.03,0.07,UPI,0,297.43,Q2,Low,Gold,Top Performer
TSC-0023,04-25-23,CUST-979,Office Supplies,Corporate,North,1722.57,2,0.21,0.07,PayPal,0,120.58,Q2,Low,Silver,Below Average
TSC-0024,10-16-22,CUST-710,Electronics,Consumer,North,4466.79,10,0.21,0.17,Net Banking,0,759.35,Q4,Low,Gold,Top Performer
TSC-0025,11-03-22,CUST-975,Electronics,Consumer,Central,3103.85,7,0.09,0.12,Net Banking,0,372.46,Q4,Low,Gold,Average
TSC-0026,06-23-23,CUST-454,Home Appliances,Home Office,West,2660.07,9,0.22,0.3,Debit Card,0,798.02,Q2,Low,Silver,Average
TSC-0027,04-30-22,CUST-664,Home Appliances,Consumer,North,1661.79,1,0.17,0.38,PayPal,0,631.48,Q2,High,Silver,Below Average
TSC-0028,05-02-24,CUST-598,Personal Care,Consumer,East,1256.37,3,0.17,0.28,Debit Card,0,351.78,Q2,Low,Bronze,Below Average
TSC-0029,12-20-23,CUST-190,Office Supplies,Consumer,South,3139.09,6,0.11,0.28,UPI,0,878.95,Q4,Low,Gold,Top Performer
TSC-0030,07-07-24,CUST-415,Office Supplies,Corporate,West,2262.13,4,0.04,0.05,Credit Card,0,113.11,Q3,Low,Silver,Average
TSC-0031,04-17-22,CUST-518,Home Appliances,Corporate,West,4557.05,10,0.07,0.23,PayPal,0,1048.12,Q2,Low,Gold,Top Performer
TSC-0032,06-29-24,CUST-407,Office Supplies,Consumer,Central,2483.61,10,0.23,0.34,Credit Card,0,844.43,Q2,High,Silver,Average
TSC-0033,09-19-24,CUST-930,Office Supplies,Corporate,West,2583.38,1,0.08,0.28,UPI,0,723.35,Q3,Low,Silver,Average
TSC-0034,02-22-24,CUST-207,Electronics,Corporate,Central,2112.78,9,0.0,0.13,Net Banking,0,274.66,Q1,Low,Silver,Average
